1.000000000000000000e+00,3.585000000000000000e+04,2.000000000000000000e+00,3.026500000000000000e+04
2.000000000000000000e+00,2.714600000000000000e+04,1.000000000000000000e+01,3.026400000000000000e+04
3.000000000000000000e+00,2.986200000000000000e+04,3.200000000000000000e+01,3.026300000000000000e+04
4.000000000000000000e+00,2.160700000000000000e+04,1.360000000000000000e+02,3.026200000000000000e+04
5.000000000000000000e+00,3.305500000000000000e+04,5.120000000000000000e+02,3.026100000000000000e+04
6.000000000000000000e+00,4.246100000000000000e+04,2.080000000000000000e+03,3.026000000000000000e+04
7.000000000000000000e+00,3.539600000000000000e+04,8.192000000000000000e+03,3.025900000000000000e+04
8.000000000000000000e+00,2.617600000000000000e+04,3.289600000000000000e+04,3.025800000000000000e+04
9.000000000000000000e+00,2.238500000000000000e+04,1.310720000000000000e+05,3.025700000000000000e+04
1.000000000000000000e+01,2.986300000000000000e+04,5.248000000000000000e+05,3.025600000000000000e+04
1.100000000000000000e+01,3.200000000000000000e+01,2.097152000000000000e+06,3.025500000000000000e+04
1.200000000000000000e+01,8.426000000000000000e+03,8.390656000000000000e+06,3.025400000000000000e+04
1.300000000000000000e+01,2.646100000000000000e+04,3.355443200000000000e+07,3.025300000000000000e+04
1.400000000000000000e+01,5.120000000000000000e+02,1.342259200000000000e+08,3.025200000000000000e+04
1.500000000000000000e+01,2.714900000000000000e+04,5.368709120000000000e+08,3.025100000000000000e+04
1.600000000000000000e+01,2.064300000000000000e+04,2.147516416000000000e+09,3.025000000000000000e+04
1.700000000000000000e+01,2.986100000000000000e+04,8.589934592000000000e+09,3.024900000000000000e+04
1.800000000000000000e+01,4.109200000000000000e+04,3.435986944000000000e+10,3.024800000000000000e+04
1.900000000000000000e+01,3.713200000000000000e+04,1.374389534720000000e+11,3.024700000000000000e+04
2.000000000000000000e+01,4.109200000000000000e+04,5.497563381760000000e+11,3.024600000000000000e+04
2.100000000000000000e+01,2.386500000000000000e+04,2.199023255552000000e+12,3.024500000000000000e+04
2.200000000000000000e+01,2.736800000000000000e+04,8.796095119360000000e+12,3.024400000000000000e+04
2.300000000000000000e+01,4.273200000000000000e+04,3.518437208883200000e+13,3.024300000000000000e+04
2.400000000000000000e+01,4.108800000000000000e+04,1.407374967439360000e+14,3.024200000000000000e+04
2.500000000000000000e+01,1.833800000000000000e+04,5.629499534213120000e+14,3.024100000000000000e+04
2.600000000000000000e+01,2.977700000000000000e+04,2.251799847239680000e+15,3.024000000000000000e+04
2.700000000000000000e+01,3.389200000000000000e+04,9.007199254740992000e+15,3.023900000000000000e+04
2.800000000000000000e+01,3.258300000000000000e+04,3.602879715318169600e+16,3.023800000000000000e+04
2.900000000000000000e+01,2.986500000000000000e+04,1.441151880758558720e+17,3.023700000000000000e+04
3.000000000000000000e+01,2.488100000000000000e+04,5.764607528402944000e+17,3.023600000000000000e+04
3.100000000000000000e+01,2.986400000000000000e+04,2.305843009213693952e+18,3.023500000000000000e+04
